I'm saying no.	Estou dizendo que não.
Sorted garbage arrives at the baler, which produces the facility's final product—pressed bales of plastic and metal, each weighing up to half a ton.	O lixo separado chega ao enfardador, que produz o produto final da instalação—fardos compactados de plástico e metal, cada um pesando até meia tonelada.
He seems to have caught a cold.	Parece que ele pegou um resfriado.
Those are the people you have to talk to.	Estas são as pessoas que você tem que falar.
Was anybody in there?	Havia alguém lá?
Do you know what I want?	Sabes o que quero?
I'm getting really tired of waiting for Tom.	Estou ficando muito cansado de esperar por Tom.
How come you know so much about Tatoeba?	Como é que você sabe tanta coisa sobre Tatoeba?
It was funny.	Foi engraçado.
I'm proud to have her as a friend.	Eu me sinto orgulhoso em ter ela como amiga.
Tom doesn't know how much the ticket will cost.	Tom não sabe quanto custará o ingresso.
Tom was bleeding.	Tom estava sangrando.
We don't stop playing because we grow old; we grow old because we stop playing.	Nós não paramos de brincar porque envelhecemos; nós envelhecemos porque paramos de brincar.
Do you think the weather will be good?	Vocês acham que o tempo estará bom?
Absolute freedom is possible.	Liberdade total é possível.
Open the gate.	Abre o portão.
I'll be with you.	Estarei com você.
Tom worked until 2:30.	O Tom trabalhou até as 14h30.
The bus should be here in thirty minutes.	O ônibus deve chegar aqui em trinta minutos.
It’s been like this since the dawn of time.	Tem sido assim desde o princípio dos tempos.
We don't have tea.	Não temos chá.
What's so funny?	Qual é o motivo de tanta graça?
You seem to know who did that.	Você parece saber quem fez isso.
She wiped a tear from her cheek.	Ela enxugou uma lágrima do rosto.
Tom is still in his pajamas.	Tom ainda está de pijamas.
Which pronoun do you prefer?	Que pronome você prefere?
I turned on the lights.	Eu acendi as luzes.
What do they like doing?	O que eles gostam de fazer?
You must be hiding something.	Você deve estar escondendo algo.
Tom knows exactly what he's talking about.	O Tom sabe exatamente do que está falando.
Give me the reason for which you were absent yesterday.	Diga-me por que motivo você não veio ontem.
We were sick.	Nós estávamos doentes.
Tom has pleaded innocent.	Tom se declarou inocente.
She should follow the advice of her mother.	Ela deveria seguir o conselho da mãe.
Are they here?	Eles estão aqui?
It has been raining for two days.	Tem chovido por dois dias.
I believe that the boy is honest.	Eu acredito que o garoto seja honesto.
He achieved his aim at last.	Ele chegou ao seu objetivo, finalmente.
Look, a squirrel!	Olhem, um esquilo!
"""What do you want?"" ""Forget about it."""	"""O que você quer dizer?"" ""Bobagem."""
He asked for my resignation.	Ele pediu minha exoneração.
We'll miss you.	Sentiremos sua falta.
Tom is going to sleep.	Tom vai dormir.
Let me give you a hand.	Deixe eu te dar uma mão.
You seem very nervous.	Você parece estar muito nervosa.
Tom told me to stop.	Tom me disse para parar.
I don't know how to speak French properly.	Eu não sei falar francês corretamente.
Where did you buy your shoes?	Onde você comprou seus sapatos?
You have time.	Você tem tempo.
He admired his friend's work.	Ele admirava o trabalho de seu amigo.
They laughed at my idea.	Eles riram de minha ideia.
The production of vegetables is growing in our area.	A produção de legumes está crescendo na nossa região.
I feel like drinking. Got any beer?	Estou com vontade de tomar algo. Tem cerveja aí?
Why is Tom special?	Por que o Tom é especial?
It's very puzzling.	É muito intrigante.
Do you guys play soccer?	Vocês jogam futebol?
Who needs them?	Quem precisa deles?
The union of two sets can be beautiful even when there is no logical connection between them.	A união de dois conjuntos pode ser bela, mesmo quando não há ligação lógica entre eles.
Love just knows the number two.	O amor só conhece o número dois.
I'm lonely.	Eu me sinto só.
Tom insisted.	Tom insistiu.
You should've stayed with Tom.	Você deveria ter ficado com o Tom.
Could you explain to me why you think these rules don't apply anymore?	Você poderia me explicar por que acha que essas regras não se aplicam mais?
Forfeiture of your assets is the last thing you should be worried about.	A perda de seus bens é a última coisa com que você deveria estar preocupado.
We're discussing that.	Estamos discutindo isso.
We were in four.	Éramos quatro.
Tom can't get a drink in this club because he's underage.	O Tom não pode tomar neste clube porque ele é um menor de idade.
I'm very hungry.	Tenho muita fome.
That's a false dilemma.	Isto é um falso dilema.
We have some.	Temos algum.
They deserve it.	Elas merecem isso.
The circumstances were different then.	As circunstâncias eram diferentes então.
I'll marry her.	Me casarei com ela.
You made me look like a fool.	Você me fez parecer um idiota.
To be honest, I don't understand it.	Vou ser franca. Eu não entendo.
I've got to speak to her.	Eu tenho que falar com ela.
Tom is an ophthalmologist.	Tom é oftalmologista.
An elephant was hunted there.	Um elefante foi caçado lá.
Tom will forgive you eventually.	Tom vai acabar te perdoando.
A half-naked couple was dancing frenetically in the middle of the square.	Um casal seminu dançava freneticamente no meio da praça.
He almost won the match he played with Judit, but ended up drawing.	Ele quase ganhou a partida que jogou com Judit, mas acabou empatando.
Tom will come again, I'm sure.	O Tom voltará; eu tenho certeza.
Illegal loggers cut down the forest.	Madeireiros ilegais derrubaram a floresta.
OK, you win.	OK, tu venceste.
I will wait here for you. Come back tomorrow evening.	Eu vou esperar por você aqui. Volte amanhã à noite.
It could take two or three weeks to do this.	Podia levar duas ou três semanas para fazer isso.
Nobody noticed that the picture had been hung upside down.	Ninguém percebeu que o retrato foi pendurado de cabeça para baixo.
I am paid weekly.	Eu sou paga semanalmente.
I slipped on the ice.	Eu escorreguei no gelo.
Tom put our names on the list.	Tom colocou os nossos nomes na lista.
I'll wait for you in the hotel tomorrow.	Esperarei por você no hotel amanhã.
You'll do whatever I say.	Você fará o que eu disser.
There's no need to try to translate a phrase word-for-word.	Não há necessidade de tentar traduzir uma frase palavra por palavra.
Did you go shopping?	Você foi fazer compras?
What have they done?	O que eles fizeram?
We're too soon old, too late smart.	Muito cedo envelhecemos, muito tarde aprendemos.
I scared Tom.	Eu assustei Tom.
This should be more than enough.	Isso deveria ser mais que o suficiente.
They took a walk on the beach.	Eles caminharam na praia.
I've been a teacher for two years.	Sou professor há dois anos.
She finally made it.	Ela finalmente conseguiu.
Will they come?	Será que eles vem?
The Brazilian average Joe has awful taste in music.	O típico homem brasileiro tem um péssimo gosto musical.
Seeking it.	Procurando.
There have been a lot of complaints about kids skateboarding in front of the school.	Tem havido muitas queixas sobre as crianças andarem de skate na frente da escola.
Isn't the weather great?	O tempo não está ótimo?
Tom didn't need to be with Mary.	Tom não precisou estar com Mary.
Tom hit his sister.	Tom bateu na sua irmã.
Do you think that these glasses look good on me?	Você acha que esses óculos ficam bem em mim?
I still don't know what it looks like.	Eu ainda não sei com o que isso se parece.
She's looking at us.	Ela está olhando para nós.
Let me get another cup of coffee for you.	Deixe-me pegar outra xícara de café para você.
What you said was very funny.	O que você disse foi muito engraçado.
Don't forget to take your meds.	Não esqueça de tomar seu remédio.
Tom and Mary are very well known.	Tom e Mary são muito conhecidos.
There is nothing that can't be accomplished by an infinite number of cats.	Não há nada que não possa ser realizado por um número infinito de gatos.
Someone should write a book on the subject.	Alguém devia escrever um livro sobre isso.
I was watching television when the telephone rang.	Eu estava vendo televisão quando o telefone tocou.
Why are those children crying?	Por que aquelas crianças estão chorando?
I didn't understand a thing.	Eu não entendi nada.
I like the people here.	Eu gosto do povo daqui.
Tom won't likely have to do that anymore.	Tom provavelmente não terá que fazer mais isso.
What language is it?	Que língua é essa?
She refused his proposal.	Ela rejeitou sua proposta.
I can't make a decision about that right now.	Não consigo tomar uma decisão quanto a isso agora.
Tom shivered involuntarily.	Tom se estremeceu involuntariamente.
Does he hear when you speak?	Ele ouve quando você fala?
I'm very efficient when there is nothing to do.	Eu sou muito eficiente quando não há nada para fazer.
Don't you understand what's happening here?	Tu não entendes o que está acontecendo aqui?
How much did that cost?	Quanto isso custou?
She is afraid of being alone with the patient.	Ela tem medo de ficar sozinha com o paciente.
I've heard rumors.	Escutei rumores.
I feel homesick.	Estou com saudade de casa.
So, are you seeing anyone?	Então você está saindo com alguém?
They're happy with their new flat.	Eles estão felizes com o seu novo apartamento.
I think he is holding something back from us.	Eu acho que ele está escondendo alguma coisa de nós.
That's not the way it happened.	Não foi assim que aconteceu.
Doing that won't solve these problems.	Fazer isso não resolverá esses problemas.
I could not remember your name.	Eu não pude lembrar seu nome.
Where is your tie?	Onde está sua gravata?
That boy is very clever.	Esse menino é muito esperto.
Why aren't you smiling?	Por que você não está sorrindo?
I am decorating my room with Berber symbols.	Estou enfeitando meu quarto com símbolos berberes.
I understand her frustration.	Eu entendo a frustração dela.
Tom became angry.	Tom ficou bravo.
She understands him.	Ela o entende.
I will give it to her tomorrow.	Eu darei isso para ela amanhã.
Tom didn't seem too surprised.	Tom não parecia muito surpreso.
Have you already voted?	Você já votou?
Layla was driving a stolen car.	Leila estava dirigindo um carro roubado.
By April 1970, man had already landed on the moon and the public's interest in the space program began to wane.	Por volta de abril de 1970, o Homem já tinha aterrado na lua e o interesse do público pelo programa espacial começou a diminuir.
There's a chance that tap water may contain harmful substances like chlorine and lead.	Existe uma possibilidade de que água encanada contenha substâncias tóxicas como cloro e chumbo.
That's what they were planning.	É isso o que eles estavam planejando.
Our campus festival is to be held next week.	O festival do nosso campus vai ser na próxima semana.
Good thing I came back.	Ainda bem que eu voltei.
You thought about everything.	Você pensou em tudo.
