Fly!	Voe!
Online higher ed has been growing pretty steadily for the past decade.	O ensino superior em linha tem vindo a crescer de forma bastante consistente ao longo da última década.
We didn't want to begin without you.	Não queríamos começar sem você.
Your question isn't very democratic.	Sua questão não é muito democrática.
They love art.	Eles adoram arte.
Seeking it.	Procurando.
When it's dark you can use a flashlight to see.	Quando está escuro, você pode usar uma lanterna para enxergar.
I know this is hard for you.	Eu sei que isso é difícil para você.
I'll pay with my card.	Vou pagar com meu cartão.
Do you use a deodorant?	Usais desodorante?
I am as rich as you.	Sou tão rico como você.
Tom probably won't agree to do that.	O Tom provavelmente não vai concordar em fazer isso.
I'd like to ask a question.	Eu gostaria de perguntar algo.
Would you tell me where his house is?	Você poderia me dizer onde fica a casa dele?
Who went to Boston with you?	Quem foi para Boston com você?
I think my living with you has influenced your way of living.	Eu acho que morar com você influenciou seu estilo de vida.
Is this for me?	É para mim?
Everybody agrees with you.	Todos estão de acordo com o senhor.
You said that half an hour ago.	Você disse isso meia hora atrás.
Pisoni says since they don't know who wins, they have to engrave a bronze plate with all the nominees' names.	Pisoni diz que como eles não sabem quem é que vai vencer, eles têm de gravar uma placa de bronze com o nome de cada um dos nomeados.
I'll wait here until she comes.	Vou esperar aqui até que ela chegue.
We met there yesterday.	Nós nos conhecemos lá ontem.
Step aside.	Afaste-se.
Do you like pineapple soda?	Você gosta de suco de abacaxi?
This might be a trivial thing for you, but it's a very important thing for me.	Para você, isso pode ser uma coisa trivial, mas para mim, é uma coisa muito importante.
I'll take that into consideration.	Vou levar isso em consideração.
Vasilissa turned into a white swan and flew away through the window.	Vassilissa transformou-se num cisne branco e saiu voando pela janela.
Boston has a subway.	Há metrô em Boston.
Why should we care?	Por que nós deveríamos nos importar?
This is discrimination!	Isso é discriminação.
Tom did all right.	O Tom fez tudo direitinho.
Can you deliver that?	Você pode entregar isso?
What do you think I'm going to do?	O que vocês acham que eu vou fazer?
I'm not gonna lie to you.	Eu vou mentir para você.
It is very impolite of her to decline my invitation.	É muita falta de educação dela recusar o meu convite.
I need mosquito repellent.	Preciso de repelente para mosquitos.
Do you miss Tom?	Você sente falta do Tom?
I was raised in Yokohama.	Fui criada em Yokohama.
I can't believe that you really believe that.	Não acredito que você realmente acredita nisso.
You're going to speak English fluently!	Você vai falar inglês fluentemente!
That's what we usually talk about.	É sobre isso que costumamos falar.
When are you off?	Quando você vai embora?
Can you ski as well as Tom?	Você pode esquiar tão bem quanto Tom?
Did you sue her?	Você processou ela?
It's gotten better.	Melhorou.
I don't want to go back alone.	Eu não quero voltar sozinho.
Do you really want me to give your computer to Tom?	Queres mesmo que eu dê teu computador ao Tom?
I've changed the French sentence. Please check the translation.	Eu alterei a frase em francês. Por favor, verifique a sua tradução.
Do you know what Tom did yesterday?	Você sabe o que o Tom fez ontem?
We arrived in Boston last night.	Chegamos em Boston ontem à noite.
The doctor cured him.	O médico o curou.
You have to stop worrying.	Você tem que parar de se preocupar.
That doesn't work at all.	Isso não funciona mesmo.
Listen, you don't have to do this, all right ?!	Escuta, você não precisa fazer isso, ok?!
What pretty eyes you have!	Que olhos bonitos que você têm!
Tom closed his eyes briefly.	Tom fechou seus olhos rapidamente.
I didn't see where you put your car keys.	Eu não vi onde você colocou as chaves do seu carro.
It sounds great!	Parece ótimo!
Tom is a self-taught musician. He learned how to play the guitar and the piano by himself.	Tom é músico autodidata. Ele aprendeu sozinho a tocar violão e piano.
Did you see where Tom hid it?	Você viu onde Tom a escondeu?
Get in the car, please.	Entre no carro, por favor.
They were on vacation last October.	Eles estavam de férias outubro passado.
I love eating cake!	Amo comer bolo!
Please pick up the papers.	Por favor, pegue os papéis.
We helped them.	Nós os ajudamos.
Tom met his wife while he was studying in Australia.	O Tom conheceu sua esposa enquanto estava estudando na Austrália.
He was supposed to call her at ten.	Ele deveria ligar pra ela às 10.
They are going to give a party the day after tomorrow.	Eles farão uma festa o dia depois de amanhã.
He died of pneumonia.	Ele morreu de pneumonia.
Nobody loves you, Tom.	Ninguém o ama, Tom.
Eat with who you want to eat with.	Coma com quem você quer comer.
Am I going the right way?	Estou indo na direção certa?
Will you still help me?	Você ainda vai me ajudar?
I think Mary is more beautiful than Alice is.	Eu acho que Mary é mais linda que Alice.
That animal is huge!	Que animal enorme!
You won't beat me.	Você não vai me bater.
I don't like the substitute teacher.	Eu não gosto da professora substituta.
She got a master's degree three years ago.	Ela conseguiu seu mestrado três anos atrás.
I can't stand it longer.	Eu não aguento mais.
I'll read it.	Eu vou ler.
What we need is a little more time.	O que precisamos é de um pouco mais de tempo.
It's pretty ugly.	É bem feio.
Who'll stay with your children while you're out working?	Quem vai ficar com seus filhos quando você estiver trabalhando?
I'll be with you in a minute.	Eu vou estar com vocês em um minuto.
I'm playing in the garden.	Eu estou jogando no jardim.
That's the person who Mary's really interested in.	Essa é a pessoa pela qual a Mary está realmente interessada.
On stage, South African singer Shannon Hope is a feline presence, her lithe body accentuated by a tight, black satin dress, spiked onyx hair, glossed lips and red stilettos.	No palco, a cantora sul-africana Shannon Hope é uma presença felina, o corpo gracioso dela acentuado por um vestido apertado de cetim preto, cabelo escuro espetado, lábios lustrosos e saltos agulha vermelhos.
And who would you be?	E quem você seria?
They are at war with the country.	Eles estão em guerra com o país.
I don't like you either.	Eu também não gosto de você.
We know that this is impossible.	Sabemos que isso é impossível.
She gave me something very nice for my birthday.	Ela me deu algo muito bonito como presente de aniversário.
In February, I was in Sao Paulo.	Eu estava em São Paulo em fevereiro.
What did Tom say?	Que foi que Tom disse?
Do you have anything else to say to me?	Você tem mais alguma coisa para me dizer?
These are hard to make.	Estes são difíceis de fazer.
I have to know where you were last night.	Tenho de saber onde vocês estiveram ontem à noite.
There is no earthly reason for me to dislike her.	Não há uma possível razão para eu não gostar dela.
I don't get why not all girls are lesbians.	Não entendo por que as garotas não são todas lésbicas.
Only she can use the computer.	Só ela pode usar o computador.
What's your favorite open source game?	Qual é o seu jogo de código aberto favorito?
We arrived in Boston the day before yesterday.	Chegamos em Boston anteontem.
Let's go by car.	Vamos de carro.
I have no place to go.	Eu não tenho para onde ir.
He ordered us steaks.	Ele nos pediu bife.
Tom finally went to Boston last summer.	Finalmente o Tomás foi para Boston no verão passado.
And his disciples put their faith in him.	E seus discípulos puseram sua fé nele.
Is that why you won't help her?	É por isso que você não vai ajudá-la?
Why did they argue?	Por que eles discutiram?
I thought that you might like something to eat.	Eu pensei que você gostaria de algo para comer.
Why don't you consult an attorney?	Por que você não consulta um advogado?
Why don't you hire Tom to do the job?	Por que você não contrata o Tom para fazer o serviço?
There are still judges in Berlin!	Ainda há juízes em Berlim!
Liberia's new electrical system will be compatible with 220 volt European systems.	O novo sistema elétrico da Libéria será compatível com os sistemas europeus de 220 vóltios.
Mom, can Tom stay for dinner?	Mãe, o Tom pode ficar para o jantar?
Tom said that he thought he'd be able to do that on Monday.	O Tom disse que achava que poderia fazer isso na segunda.
Her perfume can be smelled from 100 meters away.	Dá pra sentir o perfume dela a cem metros de distância.
It wasn't me that ate the last piece of cake.	Não fui eu quem comeu o último pedaço de bolo.
Leave us.	Nos deixe.
I like chess.	Gosto de xadrez.
She rose from the dead.	Ela ressurge da morte.
You're courageous.	Você são corajosos.
There are exceptions to every rule.	Toda regra tem suas exceções.
Tom could've said no.	Tom poderia ter dito não.
You can buy it yourself.	Você pode comprar isso sozinho.
Was she the one who called you yesterday?	Foi ela que te ligou ontem?
Are you expecting someone?	Você está esperando alguém?
No one knows where she is.	Ninguém sabe onde ela está.
I'm kind of confused.	Estou meio confuso.
Unfortunately, I can't accept your invitation.	Infelizmente, eu não posso aceitar o seu convite.
A good password should be difficult to guess, but easy to remember.	Uma boa senha deve ser difícil de adivinhar, mas fácil de lembrar.
I don't want to spoil everything.	Não quero arruinar tudo.
This is pathetic.	Isto é patético.
He was struck by her beauty.	Ele ficou impressionado com a beleza dela.
Be polite to everyone.	Seja educado com todos.
Almost everyone came.	Quase todo mundo veio.
I do not like this song.	Não curto esta música.
Tom must be Canadian.	O Tom tem de ser canadense.
The bus driver opened the door.	O motorista de ônibus abriu a porta.
Mystery creates wonder and wonder is the basis of man's desire to understand.	O mistério gera admiração e a admiração é a base do desejo de conhecer do homem.
She simply stared at me in amazement and went away without saying a word.	Ela olhou-me simplesmente fascinada e se foi sem dizer palavra alguma.
Please fill out the form below without leaving anything out.	Por favor, preencha o formulário abaixo sem faltar nada.
They like soccer a lot.	Elas gostam muito de futebol.
I will have a sandwich.	Vou comer um sanduíche.
God, you're beautiful.	Deus, você é linda.
Can you decode it?	Você consegue decodificá-lo?
We have to leave a bit earlier.	Temos de sair um pouco mais cedo.
Did you know that Tom had left town?	Você sabia que Tom tinha deixado a cidade?
No one told me this could happen.	Ninguém me disse que isto poderia acontecer.
